卡牌名称,卡牌等级,永久球颜色,永久球数量,胜利点数,购买成本_红,购买成本_蓝,购买成本_绿,购买成本_黄,购买成本_粉,购买成本_黑,购买成本_大师球,进化后卡牌,进化所需球颜色,进化所需球个数



小拉达,1,黑,1,0,1,1,1,0,1,0,0,拉达,黑,3波
尼多朗,1,黑,1,0,0,1,1,1,1,0,0,尼多力诺,黑,3
阿柏蛇,1,黑,1,0,1,0,1,1,0,1,0,阿柏怪,黑,3
超音蝠,1,黑,1,0,1,1,0,1,1,0,0,大嘴蝠,黑,3
毛球,1,黑,1,0,1,0,1,1,1,0,0,摩鲁蛾,黑,3
大岩蛇,1,黑,1,0,0,1,0,1,1,1,0,,,
鬼斯,1,黑,1,0,1,1,1,0,1,0,0,鬼斯通,黑,3
尼多兰,1,粉,1,0,0,1,1,0,1,1,0,尼多娜,粉,3
小火马,1,粉,1,0,0,1,1,1,0,1,0,烈焰马,粉,3
凯西,1,粉,1,0,0,1,1,1,0,1,0,勇基拉,粉,3
吉利蛋,1,粉,1,0,1,1,0,1,1,0,0,,,
皮皮,1,粉,1,0,1,0,1,1,1,0,0,皮可西,粉,3
胖丁,1,粉,1,0,1,1,1,0,1,0,0,胖可丁,粉,3
魔墙人偶,1,粉,1,0,0,0,1,0,1,1,0,,,
波波,1,黄,1,0,1,0,1,0,1,1,0,比比鸟,黄,3
烈雀,1,黄,1,0,1,1,0,1,0,1,0,大嘴雀,黄,3
穿山鼠,1,黄,1,0,0,1,1,1,1,0,0,穿山王,黄,3
地鼠,1,黄,1,0,1,1,1,1,0,0,0,三地鼠,黄,3
喵喵,1,黄,1,0,0,0,1,0,1,1,0,猫老大,黄,3
小拳石,1,黄,1,0,0,1,1,0,1,1,0,隆隆石,黄,3
飞天螳螂,1,黄,1,0,1,1,1,1,0,0,0,,,
杰尼龟,1,蓝,1,0,1,1,1,0,0,1,0,卡咪龟,蓝,3
可达鸭,1,蓝,1,0,1,1,1,1,0,0,0,哥达鸭,蓝,3
蚊香蝌蚪,1,蓝,1,0,1,1,0,1,1,0,0,蚊香君,蓝,3
玛瑙水母,1,蓝,1,0,1,1,1,0,1,0,0,毒刺水母,蓝,3
呆呆兽,1,蓝,1,0,1,1,0,1,1,0,0,呆壳兽,蓝,3
小海狮,1,蓝,1,0,0,1,1,1,0,1,0,白海狮,蓝,3
角金鱼,1,蓝,1,0,0,0,1,0,1,1,0,金鱼王,蓝,3
迷你龙,1,红,1,0,0,0,1,1,1,1,0,哈克龙,红,3
小火龙,1,红,1,0,1,1,0,0,1,1,0,火恐龙,红,3
六尾,1,红,1,0,1,1,1,0,1,0,0,九尾,红,3
猴怪,1,红,1,0,0,1,1,0,1,1,0,火爆猴,红,3
卡蒂狗,1,红,1,0,1,0,0,1,1,1,0,风速狗,红,3
腕力,1,红,1,0,1,1,1,1,0,0,0,豪力,红,3
小火马2,1,红,1,0,0,1,1,1,0,1,0,烈焰马2,红,3
独角虫,1,绿,1,0,0,1,0,1,1,1,0,铁甲蛹,绿,3
妙蛙种子,1,绿,1,0,1,0,0,1,1,1,0,妙蛙草,绿,3
走路草,1,绿,1,0,0,1,0,1,1,1,0,臭臭花,绿,3
派拉斯,1,绿,1,0,1,0,0,1,1,1,0,派拉斯特,绿,3
喇叭芽,1,绿,1,0,1,0,0,1,1,1,0,口呆花,绿,3
蛋蛋,1,绿,1,0,0,0,1,0,1,1,0,椰蛋树,绿,3
大葱鸭,1,绿,1,0,0,1,1,1,1,0,0,,,
拉达,2,黑,1,1,0,3,2,0,2,0,0,,,
尼多力诺,2,黑,1,1,0,0,2,3,2,0,0,尼多王,黑,5
阿柏怪,2,黑,1,1,0,0,3,2,0,2,0,,,
大嘴蝠,2,黑,1,1,2,2,0,0,3,0,0,,,
摩鲁蛾,2,黑,1,1,0,0,2,3,2,0,0,,,
鬼斯通,2,黑,1,1,2,0,0,2,3,0,0,耿鬼,黑,5
尼多娜,2,粉,1,1,3,0,2,0,0,2,0,尼多后,粉,5
烈焰马,2,粉,1,1,0,2,2,3,0,0,0,,,
勇基拉,2,粉,1,1,0,3,2,2,0,0,0,胡地,粉,5
皮可西,2,粉,1,1,0,0,0,1,5,5,0,,,
胖可丁,2,粉,1,1,0,0,0,6,0,3,0,,,
吉利蛋2,2,粉,1,1,3,0,0,3,0,3,0,,,
比比鸟,2,黄,1,1,2,0,0,2,3,0,0,比雕,黄,5
大嘴雀,2,黄,1,1,2,0,0,2,0,3,0,,,
皮卡丘,2,黄,1,1,2,2,2,0,3,0,0,雷丘,黄,5
穿山王,2,黄,1,1,0,3,0,2,2,0,0,,,
三地鼠,2,黄,1,1,3,0,3,0,0,2,0,,,
猫老大,2,黄,1,1,0,0,2,0,2,3,0,,,
隆隆石,2,黄,1,1,0,2,3,0,0,2,0,隆隆岩,黄,5
卡咪龟,2,蓝,1,1,0,0,3,0,2,2,0,水箭龟,蓝,5
哥达鸭,2,蓝,1,1,0,0,2,3,0,2,0,,,
蚊香君,2,蓝,1,1,3,0,0,2,2,0,0,蚊香泳士,蓝,5
毒刺水母,2,蓝,1,1,0,3,2,0,2,0,0,,,
呆壳兽,2,蓝,1,1,2,3,0,0,2,0,0,,,
白海狮,2,蓝,1,1,0,2,2,3,0,0,0,,,
金鱼王,2,蓝,1,1,0,0,2,0,2,3,0,,,
哈克龙,2,红,1,1,0,0,2,0,2,3,0,快龙,红,5
火恐龙,2,红,1,1,3,2,0,0,0,2,0,喷火龙,红,5
九尾,2,红,1,1,0,2,2,0,3,0,0,,,
火爆猴,2,红,1,1,0,3,2,0,2,0,0,,,
风速狗,2,红,1,1,2,0,0,2,3,0,0,,,
豪力,2,红,1,1,2,2,0,3,0,0,0,怪力,红,5
烈焰马2,2,红,1,1,0,2,2,3,0,0,0,,,
铁甲蛹,2,绿,1,1,0,2,0,3,2,0,0,大针蜂,绿,5
妙蛙草,2,绿,1,1,2,3,0,2,0,0,0,妙蛙花,绿,5
臭臭花,2,绿,1,1,3,2,0,2,0,0,0,霸王花,绿,5
派拉斯特,2,绿,1,1,2,0,0,3,2,0,0,,,
口呆花,2,绿,1,1,0,0,0,3,2,2,0,大食花,绿,5
椰蛋树,2,绿,1,1,0,0,2,0,2,3,0,,,
尼多王,3,黑,1,3,0,3,3,5,3,0,0,,,
耿鬼,3,黑,1,3,3,0,3,5,3,0,0,,,
大岩蛇2,3,黑,1,3,0,0,3,3,5,3,0,,,
尼多后,3,粉,1,3,3,0,5,0,3,3,0,,,
胡地,3,粉,1,3,0,5,3,3,0,3,0,,,
化石翼龙,3,粉,1,3,0,0,0,3,5,3,0,,,
比雕,3,黄,1,3,3,0,3,5,3,0,0,,,
雷丘,3,黄,1,3,0,3,5,0,3,3,0,,,
隆隆岩,3,黄,1,3,0,3,5,0,3,3,0,,,
水箭龟,3,蓝,1,3,3,0,3,0,5,3,0,,,
蚊香泳士,3,蓝,1,3,5,0,0,3,3,3,0,,,
乘龙,3,蓝,1,3,3,5,0,0,3,3,0,,,
快龙,3,红,1,3,0,0,3,3,5,3,0,,,
喷火龙,3,红,1,3,3,5,0,0,3,3,0,,,
怪力,3,红,1,3,3,3,0,5,0,3,0,,,
大针蜂,3,绿,1,3,0,3,0,3,3,5,0,,,
妙蛙花,3,绿,1,3,5,3,0,3,0,3,0,,,
霸王花,3,绿,1,3,3,5,0,3,0,3,0,,,
卡比兽,4,黑,2,4,0,0,0,0,7,0,0,,,
化石翼龙,4,粉,2,4,0,0,0,0,0,7,0,,,
闪电鸟,4,黄,2,4,0,0,0,7,0,0,0,,,
急冻鸟,4,蓝,2,4,0,7,0,0,0,0,0,,,
火焰鸟,4,红,2,4,7,0,0,0,0,0,0,,,
超梦X,5,黑,2,5,3,3,6,0,0,3,1,,,
超梦Y,5,粉,2,5,6,0,0,3,3,3,1,,,
皮神,5,黄,2,5,0,3,3,0,6,3,1,,,
梦幻,5,蓝,2,5,3,0,3,3,0,6,1,,,
超梦,5,红,2,5,0,6,3,0,3,3,1,,,
